Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S19681900158,06/23/2014,4794,Smokin' Joe's #17 Tobacco and Liquor,110 S ROOSEVELT HWY 61,BURLINGTON,52601,"110 S ROOSEVELT HWY 61
BURLINGTON 52601
(40.809556, -91.141395)",29.0,Des Moines,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,2,$28.26,1.5,0.4
S24591900055,03/18/2015,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1ST AVE,IOWA CITY,52240,"812 S 1ST AVE
IOWA CITY 52240
",52.0,Johnson,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,2,$20.98,1.5,0.4
S16752100044,01/09/2014,4165,I-35 Spirits / Ankeny,113 SE DELAWARE AVE STE 101,ANKENY,50023,"113 SE DELAWARE AVE STE 101
ANKENY 50023
(41.731732, -93.58109)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,1,$14.25,0.75,0.2
S26122200048,06/10/2015,3842,Bancroft Liquor Store,107 N PORTLAND ST PO BX 222,BANCROFT,50517,"107 N PORTLAND ST PO BX 222
BANCROFT 50517
(43.29355, -94.218)",55.0,Kossuth,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,2,$28.26,1.5,0.4
S23147400053,12/23/2014,4988,Happy's Wine & Spirits,5925 UNIVERSITY AVE,CEDAR FALLS,50613,"5925 UNIVERSITY AVE
CEDAR FALLS 50613
(42.512766, -92.429371)",7.0,Black Hawk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,3,$42.39,2.25,0.59
S24982100162,04/09/2015,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,"901 SOUTH 4TH ST
CLINTON 52732
(41.836268, -90.193205)",23.0,Clinton,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$8.00,$12.00,3,$36.00,2.25,0.59
S15320800045,10/23/2013,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.023145, -93.715664)",85.0,Story,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.74,$13.49,12,$161.88,9.0,2.38
S21008500002,09/09/2014,4015,Wal-Mart 0749 / Ames,3015 GRAND AVE,AMES,50010,"3015 GRAND AVE
AMES 50010
(42.052321, -93.620682)",85.0,Story,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,36,$508.68,27.0,7.13
S19890700043,07/02/2014,4481,THE LIQUOR HOUSE,425 GILBERT ST,IOWA CITY,52240,"425 GILBERT ST
IOWA CITY 52240
(41.656297, -91.530221)",52.0,Johnson,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,2,$28.50,1.5,0.4
S23056500124,12/19/2014,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,"1013 MAIN
KEOKUK 52632
(40.39978, -91.387531)",56.0,Lee,1062050.0,BARBADOS RUM,460.0,Shaw Ross International Importers LL,44266,British Navy Pusser's Rum,6,750,$12.02,$18.03,1,$18.03,0.75,0.2
S20705600116,08/18/2014,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,"2510 SW STATE ST
ANKENY 50023
(41.704185, -93.621597)",77.0,Polk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,1,$14.13,0.75,0.2
S14308400022,09/04/2013,3762,Wine and Spirits Gallery,7690 HICKMAN RD,WINDSOR HEIGHTS,50322,"7690 HICKMAN RD
WINDSOR HEIGHTS 50322
(41.61467, -93.722451)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.49,$14.24,1,$14.24,0.75,0.2
S20631900082,08/13/2014,2961,Dahl's / Ep True / Wdm,5003 E P TRUE PARKWAY,WEST DES MOINES,50265,"5003 E P TRUE PARKWAY
WEST DES MOINES 50265
(41.571985, -93.772757)",77.0,Polk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,36,$508.68,27.0,7.13
